0,1
E,Sweet
C,Sweet
A,Sweet
Miss,Miss
A,Bitter
C,Bitter
B,Bitter
Miss,Miss
D,Bitter
Miss,Miss
C,Sweet
B,Sweet
F,Bitter
B,Bitter
D,Bitter
C,Sweet
C,Sweet
A,Sweet
C,Bitter
D,Bitter
E,Bitter
Miss,Miss
D,Bitter
D,Bitter
E,Sweet
B,Bitter
C,Bitter
D,Bitter
D,Sweet
C,Sweet
A,Sweet
C,Sweet
F,Sweet
C,Sweet
F,Sweet
E,Sweet
B,Bitter
F,Sweet
F,Sweet
B,Bitter
D,Sweet
Miss,Miss
E,Bitter
A,Bitter
B,Bitter
D,Bitter
C,Sweet
D,Sweet
B,Bitter
A,Sweet
A,Sweet
E,Sweet
A,Bitter
E,Bitter
Miss,Miss
D,Sweet
C,Sweet
C,Sweet
A,Sweet
A,Bitter
F,Bitter
B,Bitter
D,Bitter
F,Bitter
C,Bitter
F,Bitter
D,Bitter
Miss,Miss
D,Bitter
A,Sweet
E,Sweet
F,Sweet
F,Bitter
F,Sweet
Miss,Miss
F,Bitter
D,Bitter
E,Bitter
D,Bitter
B,Bitter
D,Bitter
C,Bitter
E,Sweet
Miss,Miss
C,Bitter
E,Bitter
B,Bitter
B,Sweet
A,Sweet
C,Sweet
B,Sweet
Miss,Miss
E,Bitter
C,Bitter
D,Sweet
Miss,Miss
B,Bitter
B,Bitter
A,Sweet
D,Bitter
D,Bitter
Miss,Miss
A,Sweet
E,Sweet
