0,1
A,Bitter
C,Sweet
C,Sweet
B,Bitter
E,Sweet
A,Sweet
Miss,Miss
Miss,Miss
A,Sweet
D,Bitter
E,Bitter
C,Sweet
F,Sweet
D,Sweet
D,Bitter
A,Sweet
C,Sweet
D,Sweet
C,Bitter
B,Bitter
A,Bitter
D,Bitter
B,Bitter
F,Sweet
E,Sweet
A,Bitter
D,Sweet
E,Sweet
E,Sweet
B,Sweet
A,Sweet
E,Bitter
D,Sweet
F,Bitter
D,Sweet
C,Sweet
B,Bitter
E,Sweet
E,Bitter
A,Bitter
C,Bitter
D,Bitter
A,Sweet
C,Sweet
B,Bitter
C,Sweet
A,Sweet
A,Bitter
D,Bitter
D,Sweet
D,Bitter
E,Sweet
E,Bitter
A,Sweet
E,Bitter
C,Sweet
D,Bitter
B,Bitter
D,Bitter
F,Sweet
E,Sweet
E,Bitter
C,Sweet
D,Bitter
B,Bitter
B,Bitter
F,Bitter
D,Bitter
C,Sweet
A,Sweet
C,Bitter
A,Sweet
B,Bitter
D,Bitter
E,Bitter
F,Bitter
A,Sweet
B,Bitter
C,Sweet
C,Bitter
B,Bitter
B,Bitter
A,Sweet
C,Sweet
A,Sweet
B,Bitter
A,Sweet
E,Sweet
D,Bitter
E,Bitter
B,Bitter
F,Sweet
A,Sweet
C,Bitter
Miss,Miss
C,Sweet
A,Sweet
C,Sweet
B,Bitter
A,Sweet
A,Sweet
B,Sweet
F,Sweet
D,Bitter
