0,1
C,Sweet
D,Bitter
E,Bitter
A,Sweet
D,Bitter
C,Sweet
C,Sweet
C,Bitter
F,Bitter
F,Sweet
Miss,Miss
A,Sweet
B,Bitter
F,Sweet
D,Sweet
A,Bitter
A,Sweet
A,Sweet
B,Sweet
E,Bitter
C,Bitter
D,Bitter
A,Bitter
D,Sweet
B,Sweet
A,Sweet
B,Bitter
F,Bitter
C,Sweet
F,Bitter
C,Bitter
A,Sweet
C,Sweet
F,Bitter
D,Bitter
A,Sweet
F,Bitter
C,Bitter
A,Sweet
B,Sweet
E,Bitter
E,Bitter
C,Sweet
E,Bitter
D,Bitter
E,Sweet
E,Sweet
B,Bitter
A,Sweet
C,Bitter
A,Sweet
B,Bitter
B,Bitter
B,Sweet
E,Bitter
B,Bitter
B,Sweet
D,Bitter
E,Bitter
F,Bitter
A,Sweet
B,Bitter
C,Bitter
A,Sweet
B,Bitter
B,Bitter
A,Bitter
D,Bitter
D,Bitter
A,Bitter
A,Sweet
C,Sweet
Miss,Miss
F,Bitter
B,Bitter
A,Sweet
E,Bitter
D,Sweet
F,Bitter
F,Bitter
C,Sweet
A,Sweet
F,Sweet
A,Sweet
D,Sweet
C,Bitter
B,Bitter
D,Bitter
A,Bitter
E,Sweet
C,Sweet
A,Sweet
E,Bitter
E,Bitter
D,Sweet
C,Sweet
D,Sweet
B,Bitter
E,Sweet
D,Sweet
A,Sweet
D,Sweet
F,Bitter
F,Sweet
