0,1
D,Bitter
A,Sweet
E,Sweet
C,Sweet
B,Sweet
E,Bitter
E,Sweet
D,Bitter
A,Sweet
D,Sweet
B,Bitter
B,Sweet
C,Sweet
F,Sweet
C,Sweet
Miss,Miss
B,Bitter
B,Bitter
F,Bitter
F,Bitter
A,Bitter
B,Bitter
A,Sweet
D,Bitter
D,Bitter
B,Bitter
B,Bitter
E,Sweet
A,Bitter
E,Bitter
C,Sweet
E,Sweet
B,Bitter
A,Sweet
D,Sweet
C,Sweet
A,Sweet
B,Sweet
D,Bitter
C,Sweet
B,Sweet
D,Bitter
E,Bitter
E,Sweet
B,Bitter
E,Sweet
C,Sweet
D,Bitter
F,Bitter
E,Sweet
F,Bitter
D,Bitter
D,Bitter
B,Sweet
D,Bitter
C,Bitter
C,Sweet
A,Sweet
B,Bitter
E,Bitter
A,Sweet
B,Bitter
C,Bitter
B,Bitter
F,Bitter
C,Sweet
C,Bitter
E,Sweet
B,Bitter
B,Bitter
C,Sweet
E,Bitter
B,Bitter
E,Bitter
A,Sweet
A,Sweet
F,Bitter
F,Bitter
F,Sweet
D,Bitter
F,Sweet
B,Bitter
E,Sweet
B,Bitter
A,Sweet
C,Bitter
A,Bitter
F,Bitter
D,Bitter
A,Sweet
F,Bitter
Miss,Miss
A,Sweet
E,Bitter
D,Bitter
F,Sweet
D,Bitter
B,Bitter
C,Sweet
B,Bitter
D,Bitter
E,Sweet
E,Sweet
E,Bitter
