0,1
B,Bitter
A,Sweet
D,Bitter
C,Sweet
C,Sweet
F,Sweet
Miss,Miss
A,Sweet
C,Sweet
A,Sweet
B,Bitter
B,Bitter
F,Bitter
A,Sweet
E,Sweet
C,Sweet
F,Sweet
B,Bitter
C,Sweet
D,Bitter
C,Sweet
A,Sweet
D,Bitter
E,Bitter
D,Bitter
B,Bitter
E,Bitter
B,Bitter
B,Sweet
C,Bitter
B,Bitter
Miss,Miss
A,Sweet
C,Bitter
Miss,Miss
E,Sweet
C,Sweet
A,Sweet
A,Sweet
C,Sweet
A,Sweet
D,Sweet
F,Bitter
F,Bitter
D,Sweet
D,Sweet
F,Sweet
E,Sweet
F,Bitter
F,Bitter
A,Sweet
F,Sweet
D,Bitter
C,Sweet
F,Bitter
F,Bitter
F,Bitter
E,Sweet
F,Bitter
C,Bitter
D,Bitter
E,Sweet
B,Sweet
F,Bitter
E,Sweet
F,Bitter
D,Sweet
E,Bitter
D,Sweet
F,Bitter
C,Bitter
B,Bitter
A,Bitter
B,Bitter
C,Bitter
E,Sweet
C,Sweet
E,Sweet
A,Bitter
F,Bitter
D,Bitter
D,Bitter
D,Sweet
F,Bitter
A,Sweet
B,Sweet
E,Bitter
F,Sweet
B,Bitter
A,Sweet
E,Sweet
F,Bitter
A,Sweet
E,Sweet
A,Sweet
B,Bitter
B,Bitter
F,Bitter
D,Sweet
A,Sweet
F,Bitter
A,Bitter
A,Sweet
C,Sweet
