0,1
A,Sweet
F,Bitter
C,Bitter
Miss,Miss
B,Bitter
Miss,Miss
F,Sweet
B,Bitter
A,Sweet
B,Bitter
B,Sweet
A,Sweet
A,Sweet
E,Sweet
A,Sweet
E,Sweet
F,Bitter
C,Sweet
A,Sweet
E,Bitter
D,Sweet
F,Sweet
F,Sweet
D,Sweet
E,Sweet
F,Bitter
A,Sweet
C,Sweet
F,Bitter
B,Bitter
A,Sweet
A,Sweet
B,Bitter
A,Sweet
E,Bitter
B,Bitter
B,Sweet
B,Bitter
A,Sweet
A,Sweet
F,Bitter
D,Bitter
B,Bitter
D,Sweet
F,Sweet
D,Bitter
F,Sweet
B,Bitter
B,Sweet
F,Bitter
A,Sweet
C,Sweet
F,Sweet
A,Sweet
A,Sweet
D,Bitter
D,Bitter
E,Sweet
F,Bitter
D,Bitter
A,Sweet
A,Sweet
C,Sweet
C,Sweet
B,Sweet
B,Bitter
B,Bitter
C,Sweet
B,Bitter
F,Bitter
A,Sweet
D,Sweet
A,Sweet
F,Bitter
D,Bitter
C,Sweet
D,Bitter
B,Bitter
D,Bitter
F,Sweet
E,Bitter
C,Bitter
D,Bitter
E,Sweet
D,Bitter
B,Bitter
B,Bitter
E,Sweet
A,Sweet
E,Bitter
C,Sweet
A,Sweet
E,Sweet
F,Bitter
C,Sweet
B,Sweet
F,Bitter
D,Bitter
F,Sweet
F,Bitter
E,Sweet
C,Sweet
E,Sweet
F,Bitter
