0,1
C,Sweet
C,Sweet
Miss,Miss
Miss,Miss
Miss,Miss
C,Sweet
E,Bitter
E,Sweet
E,Sweet
D,Bitter
D,Bitter
A,Bitter
C,Sweet
C,Sweet
F,Sweet
B,Bitter
A,Sweet
A,Sweet
F,Sweet
F,Sweet
Miss,Miss
A,Sweet
B,Bitter
F,Sweet
Miss,Miss
B,Sweet
A,Bitter
A,Bitter
C,Sweet
C,Sweet
F,Bitter
D,Sweet
A,Sweet
E,Bitter
E,Sweet
A,Sweet
B,Sweet
D,Bitter
A,Bitter
A,Bitter
A,Sweet
C,Sweet
D,Bitter
B,Sweet
A,Bitter
A,Bitter
D,Bitter
D,Sweet
A,Sweet
D,Bitter
E,Bitter
E,Sweet
A,Sweet
A,Bitter
C,Bitter
E,Bitter
E,Bitter
C,Sweet
F,Bitter
B,Bitter
D,Bitter
B,Bitter
A,Sweet
B,Sweet
F,Sweet
D,Bitter
A,Sweet
C,Bitter
D,Sweet
F,Sweet
B,Sweet
D,Sweet
F,Bitter
A,Sweet
B,Bitter
E,Sweet
F,Bitter
F,Bitter
B,Bitter
D,Sweet
B,Bitter
E,Sweet
A,Bitter
F,Bitter
A,Sweet
B,Bitter
C,Sweet
D,Sweet
C,Sweet
A,Sweet
F,Sweet
A,Sweet
B,Sweet
E,Sweet
C,Sweet
C,Sweet
E,Sweet
E,Sweet
E,Bitter
C,Sweet
A,Sweet
F,Sweet
A,Sweet
C,Sweet
