0,1
A,Sweet
D,Bitter
A,Sweet
E,Sweet
B,Bitter
C,Sweet
C,Sweet
C,Bitter
D,Bitter
E,Sweet
Miss,Miss
D,Bitter
C,Sweet
D,Bitter
A,Bitter
B,Bitter
A,Sweet
E,Bitter
D,Sweet
B,Bitter
D,Bitter
A,Sweet
A,Sweet
A,Sweet
D,Bitter
F,Bitter
D,Sweet
A,Bitter
D,Sweet
B,Bitter
B,Sweet
F,Bitter
F,Sweet
E,Sweet
A,Sweet
F,Bitter
C,Sweet
E,Sweet
B,Bitter
E,Sweet
D,Sweet
E,Sweet
F,Sweet
B,Bitter
B,Bitter
D,Bitter
F,Bitter
D,Bitter
A,Bitter
B,Bitter
A,Bitter
A,Bitter
E,Bitter
F,Bitter
F,Bitter
A,Sweet
C,Sweet
F,Sweet
F,Sweet
F,Bitter
F,Bitter
A,Bitter
E,Bitter
A,Sweet
C,Sweet
B,Sweet
C,Sweet
A,Sweet
D,Sweet
E,Sweet
E,Sweet
C,Sweet
F,Sweet
E,Sweet
F,Bitter
A,Sweet
D,Bitter
Miss,Miss
F,Bitter
E,Sweet
A,Sweet
A,Sweet
A,Bitter
A,Sweet
F,Sweet
D,Bitter
E,Bitter
B,Bitter
F,Bitter
E,Sweet
A,Bitter
A,Bitter
F,Bitter
E,Sweet
C,Bitter
B,Sweet
A,Sweet
D,Bitter
