0,1
E,Sweet
C,Sweet
Miss,Miss
E,Bitter
F,Bitter
D,Bitter
F,Bitter
D,Sweet
B,Bitter
E,Sweet
B,Bitter
F,Bitter
C,Sweet
C,Sweet
E,Sweet
A,Sweet
A,Bitter
C,Sweet
C,Sweet
A,Sweet
B,Bitter
E,Sweet
A,Sweet
F,Bitter
D,Bitter
F,Bitter
E,Bitter
E,Sweet
Miss,Miss
A,Sweet
D,Bitter
C,Sweet
C,Sweet
A,Sweet
C,Sweet
F,Bitter
A,Bitter
E,Bitter
A,Sweet
E,Sweet
A,Bitter
A,Bitter
C,Sweet
A,Sweet
D,Bitter
F,Bitter
F,Bitter
B,Bitter
A,Bitter
B,Bitter
D,Sweet
A,Sweet
F,Sweet
C,Sweet
D,Bitter
D,Bitter
D,Sweet
D,Bitter
D,Sweet
D,Bitter
B,Bitter
A,Sweet
D,Bitter
A,Sweet
C,Sweet
F,Bitter
B,Sweet
B,Bitter
E,Bitter
C,Sweet
E,Sweet
B,Bitter
F,Sweet
F,Sweet
C,Bitter
F,Sweet
A,Bitter
F,Bitter
F,Bitter
D,Sweet
A,Bitter
A,Sweet
D,Bitter
B,Sweet
D,Bitter
E,Sweet
D,Bitter
C,Sweet
A,Sweet
B,Bitter
C,Sweet
B,Bitter
B,Bitter
F,Bitter
D,Bitter
E,Bitter
F,Bitter
