0,1
F,Sweet
D,Bitter
D,Bitter
Miss,Miss
A,Sweet
B,Sweet
B,Bitter
D,Bitter
C,Sweet
A,Bitter
F,Sweet
D,Bitter
A,Bitter
C,Sweet
C,Sweet
A,Bitter
D,Bitter
A,Sweet
B,Bitter
E,Sweet
Miss,Miss
A,Sweet
B,Sweet
C,Sweet
A,Sweet
Miss,Miss
F,Sweet
D,Sweet
A,Sweet
B,Bitter
Miss,Miss
C,Sweet
E,Bitter
C,Sweet
A,Sweet
Miss,Miss
B,Bitter
D,Bitter
F,Bitter
B,Sweet
A,Sweet
A,Sweet
F,Bitter
D,Bitter
C,Sweet
E,Bitter
C,Sweet
E,Sweet
E,Sweet
C,Bitter
D,Bitter
D,Sweet
A,Sweet
B,Bitter
E,Bitter
D,Sweet
B,Bitter
B,Sweet
D,Bitter
F,Sweet
B,Bitter
F,Sweet
A,Bitter
B,Bitter
F,Bitter
D,Bitter
C,Sweet
D,Bitter
E,Bitter
B,Bitter
E,Sweet
B,Bitter
C,Bitter
F,Bitter
A,Sweet
C,Sweet
B,Sweet
B,Bitter
A,Sweet
C,Bitter
A,Sweet
E,Bitter
F,Sweet
F,Bitter
A,Sweet
C,Sweet
B,Bitter
B,Bitter
Miss,Miss
Miss,Miss
E,Sweet
F,Sweet
E,Bitter
A,Sweet
C,Sweet
B,Bitter
C,Sweet
B,Sweet
D,Sweet
Miss,Miss
B,Bitter
D,Bitter
A,Sweet
A,Sweet
