0,1
A,Sweet
C,Bitter
Miss,Miss
D,Sweet
F,Bitter
E,Sweet
F,Sweet
C,Sweet
F,Bitter
B,Bitter
F,Bitter
D,Bitter
A,Sweet
C,Sweet
E,Bitter
D,Bitter
A,Bitter
D,Bitter
B,Bitter
E,Sweet
D,Sweet
C,Sweet
C,Sweet
A,Bitter
E,Bitter
E,Sweet
F,Sweet
A,Bitter
D,Bitter
A,Bitter
B,Bitter
A,Sweet
A,Sweet
C,Sweet
B,Bitter
D,Sweet
A,Sweet
E,Sweet
B,Sweet
B,Sweet
C,Bitter
E,Bitter
C,Bitter
A,Sweet
A,Sweet
A,Sweet
A,Sweet
C,Sweet
A,Bitter
E,Bitter
E,Bitter
B,Bitter
A,Sweet
B,Bitter
F,Sweet
F,Bitter
F,Sweet
C,Sweet
D,Bitter
C,Bitter
E,Bitter
E,Sweet
C,Sweet
C,Bitter
C,Sweet
D,Bitter
D,Bitter
A,Bitter
D,Bitter
E,Bitter
E,Bitter
B,Bitter
C,Bitter
A,Sweet
A,Sweet
F,Sweet
B,Bitter
B,Bitter
A,Bitter
B,Bitter
B,Bitter
F,Bitter
C,Bitter
E,Sweet
C,Sweet
F,Bitter
E,Bitter
B,Bitter
E,Bitter
D,Bitter
B,Bitter
B,Bitter
E,Bitter
F,Bitter
F,Bitter
C,Bitter
D,Bitter
A,Sweet
D,Sweet
C,Sweet
B,Bitter
A,Sweet
B,Bitter
C,Sweet
