0,1
Miss,Miss
A,Sweet
C,Bitter
B,Sweet
Miss,Miss
B,Bitter
D,Bitter
B,Bitter
D,Bitter
C,Sweet
D,Bitter
E,Bitter
Miss,Miss
E,Sweet
F,Sweet
F,Bitter
D,Sweet
B,Bitter
E,Bitter
F,Bitter
Miss,Miss
E,Bitter
C,Bitter
E,Sweet
E,Sweet
B,Bitter
A,Sweet
B,Sweet
Miss,Miss
B,Bitter
Miss,Miss
B,Bitter
C,Sweet
D,Bitter
Miss,Miss
E,Sweet
F,Bitter
A,Sweet
C,Sweet
E,Sweet
B,Sweet
F,Bitter
A,Sweet
E,Sweet
F,Bitter
D,Sweet
D,Bitter
F,Sweet
C,Bitter
A,Sweet
A,Sweet
D,Sweet
F,Bitter
F,Bitter
A,Sweet
E,Sweet
F,Bitter
B,Bitter
F,Bitter
D,Bitter
A,Sweet
F,Bitter
B,Sweet
C,Sweet
C,Sweet
D,Sweet
B,Bitter
F,Bitter
A,Bitter
E,Sweet
C,Sweet
C,Sweet
E,Sweet
C,Sweet
E,Sweet
B,Bitter
D,Bitter
A,Sweet
A,Sweet
F,Sweet
C,Sweet
F,Sweet
C,Sweet
A,Sweet
D,Sweet
A,Sweet
F,Sweet
C,Bitter
Miss,Miss
D,Bitter
B,Sweet
B,Sweet
E,Sweet
F,Sweet
F,Sweet
C,Bitter
D,Bitter
D,Sweet
F,Sweet
B,Bitter
F,Bitter
Miss,Miss
E,Bitter
B,Sweet
