0,1
A,Sweet
C,Sweet
B,Bitter
C,Bitter
A,Sweet
F,Bitter
F,Sweet
B,Bitter
A,Sweet
C,Sweet
B,Bitter
E,Sweet
E,Sweet
C,Bitter
C,Sweet
D,Sweet
D,Bitter
B,Bitter
C,Bitter
F,Bitter
F,Bitter
A,Sweet
B,Bitter
F,Sweet
B,Bitter
F,Bitter
F,Bitter
F,Bitter
A,Sweet
Miss,Miss
E,Bitter
B,Bitter
D,Bitter
A,Sweet
D,Bitter
A,Sweet
F,Sweet
A,Sweet
D,Sweet
D,Bitter
F,Bitter
D,Sweet
A,Sweet
F,Bitter
D,Sweet
C,Sweet
E,Bitter
A,Bitter
E,Sweet
C,Sweet
B,Bitter
A,Sweet
D,Bitter
F,Sweet
D,Sweet
F,Bitter
Miss,Miss
D,Bitter
F,Bitter
F,Sweet
E,Sweet
A,Sweet
B,Sweet
C,Sweet
F,Sweet
C,Sweet
F,Sweet
D,Bitter
A,Sweet
F,Sweet
E,Bitter
C,Sweet
C,Bitter
E,Bitter
A,Sweet
F,Sweet
B,Bitter
A,Sweet
B,Bitter
E,Bitter
C,Bitter
E,Sweet
D,Bitter
F,Sweet
C,Bitter
F,Sweet
B,Bitter
A,Sweet
C,Sweet
A,Sweet
A,Sweet
E,Sweet
F,Bitter
B,Bitter
D,Bitter
A,Bitter
