0,1
B,Bitter
Miss,Miss
B,Bitter
A,Sweet
C,Sweet
E,Sweet
C,Sweet
F,Sweet
D,Sweet
C,Bitter
B,Bitter
F,Bitter
B,Bitter
A,Bitter
C,Bitter
F,Bitter
A,Bitter
F,Bitter
E,Sweet
C,Sweet
Miss,Miss
F,Bitter
B,Bitter
F,Sweet
F,Bitter
Miss,Miss
B,Bitter
A,Sweet
Miss,Miss
Miss,Miss
A,Sweet
Miss,Miss
F,Sweet
A,Sweet
C,Sweet
B,Sweet
B,Bitter
F,Bitter
D,Sweet
B,Sweet
F,Bitter
B,Bitter
D,Bitter
E,Bitter
C,Sweet
B,Sweet
A,Sweet
B,Bitter
B,Sweet
B,Bitter
F,Bitter
C,Bitter
Miss,Miss
F,Bitter
B,Bitter
F,Bitter
C,Sweet
E,Bitter
A,Sweet
D,Bitter
C,Sweet
F,Sweet
B,Bitter
A,Sweet
E,Sweet
C,Bitter
A,Sweet
F,Sweet
A,Bitter
A,Sweet
F,Sweet
F,Bitter
E,Sweet
A,Sweet
A,Sweet
E,Sweet
F,Sweet
A,Sweet
Miss,Miss
F,Bitter
E,Sweet
E,Bitter
Miss,Miss
B,Bitter
Miss,Miss
C,Sweet
Miss,Miss
B,Bitter
Miss,Miss
F,Sweet
B,Bitter
Miss,Miss
F,Sweet
E,Bitter
E,Sweet
F,Sweet
A,Bitter
A,Sweet
C,Bitter
B,Bitter
C,Sweet
B,Bitter
D,Bitter
E,Bitter
